ORIGID,CountyName,PopulationCensus16,TimeStamp,ConfirmedCovidCases
9,Kildare,222504,2020/03/13  ,3
10,Kilkenny,99232,2020/03/13  ,0
11,Laois,84697,2020/03/13  ,0
12,Leitrim,32044,2020/03/13  ,0
13,Limerick,194899,2020/03/13  ,5
14,Longford,40873,2020/03/13  ,1
15,Louth,128884,2020/03/13  ,2
16,Mayo,130507,2020/03/13  ,0
17,Meath,195044,2020/03/13  ,3
18,Monaghan,61386,2020/03/13  ,0
19,Offaly,77961,2020/03/13  ,0
20,Roscommon,64544,2020/03/13  ,0
21,Sligo,65535,2020/03/13  ,0
22,Tipperary,159553,2020/03/13  ,2
23,Waterford,116176,2020/03/13  ,3
24,Westmeath,88770,2020/03/13  ,2
25,Wexford,149722,2020/03/13  ,0
26,Wicklow,142425,2020/03/13  ,6
1,Carlow,56932,2020/03/14  ,2
2,Cavan,76176,2020/03/14  ,0
3,Clare,118817,2020/03/14  ,5
4,Cork,542868,2020/03/14  ,36
5,Donegal,159192,2020/03/14  ,2
6,Dublin,1347359,2020/03/14  ,53
7,Galway,258058,2020/03/14  ,9
8,Kerry,147707,2020/03/14  ,4
9,Kildare,222504,2020/03/14  ,3
10,Kilkenny,99232,2020/03/14  ,1
11,Laois,84697,2020/03/14  ,0
12,Leitrim,32044,2020/03/14  ,0
13,Limerick,194899,2020/03/14  ,5
14,Longford,40873,2020/03/14  ,1
15,Louth,128884,2020/03/14  ,3
16,Mayo,130507,2020/03/14  ,0
17,Meath,195044,2020/03/14  ,3
18,Monaghan,61386,2020/03/14  ,0
19,Offaly,77961,2020/03/14  ,0
20,Roscommon,64544,2020/03/14  ,1
21,Sligo,65535,2020/03/14  ,0
22,Tipperary,159553,2020/03/14  ,2
23,Waterford,116176,2020/03/14  ,3
24,Westmeath,88770,2020/03/14  ,4
25,Wexford,149722,2020/03/14  ,0
26,Wicklow,142425,2020/03/14  ,6
1,Carlow,56932,2020/03/15  ,2
2,Cavan,76176,2020/03/15  ,2
3,Clare,118817,2020/03/15  ,5
4,Cork,542868,2020/03/15  ,38
5,Donegal,159192,2020/03/15  ,2
6,Dublin,1347359,2020/03/15  ,67
7,Galway,258058,2020/03/15  ,10
8,Kerry,147707,2020/03/15  ,5
9,Kildare,222504,2020/03/15  ,3
10,Kilkenny,99232,2020/03/15  ,2
11,Laois,84697,2020/03/15  ,0
12,Leitrim,32044,2020/03/15  ,0
13,Limerick,194899,2020/03/15  ,5
14,Longford,40873,2020/03/15  ,1
15,Louth,128884,2020/03/15  ,4
16,Mayo,130507,2020/03/15  ,1
17,Meath,195044,2020/03/15  ,3
18,Monaghan,61386,2020/03/15  ,0
19,Offaly,77961,2020/03/15  ,1
20,Roscommon,64544,2020/03/15  ,1
21,Sligo,65535,2020/03/15  ,2
22,Tipperary,159553,2020/03/15  ,2
23,Waterford,116176,2020/03/15  ,3
